id,name,title,category,organization,last_updated,tags,portal,location,source_url,harvested_at,notes
6rrh-rzua,Listing of Active Businesses,Listing of Active Businesses,,Office of Finance,2026-03-15T15:38:51.000Z,,data.lacity.org,,https://data.lacity.org/d/6rrh-rzua,2026-04-03T21:55:17.179972+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
2nrs-mtv8,Crime Data from 2020 to 2024,Crime Data from 2020 to 2024,,Los Angeles Police Department,2026-03-04T17:17:36.000Z,,data.lacity.org,,https://data.lacity.org/d/2nrs-mtv8,2026-04-03T21:55:18.330773+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
dik5-hwp6,Los Angeles International Airport (LAX) - Parking Lots Current Status,Los Angeles International Airport (LAX) - Parking Lots Current Status,,Los Angeles World Airports,2024-05-02T02:40:12.000Z,,data.lacity.org,,https://data.lacity.org/d/dik5-hwp6,2026-04-03T21:55:19.388256+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
4ca8-mxuh,Addresses in the City of Los Angeles,Addresses in the City of Los Angeles,,Bureau of Engineering,2026-04-03T13:25:41.000Z,,data.lacity.org,,https://data.lacity.org/d/4ca8-mxuh,2026-04-03T21:55:20.143649+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
8g3t-qf9k,Easy BTRC Lookup Tool,Easy BTRC Lookup Tool,,,2024-01-22T16:35:09.435Z,,data.lacity.org,,https://data.lacity.org/d/8g3t-qf9k,2026-04-03T21:55:21.497953+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
2ckn-xmjp,LADOT Preferential Parking Districts (PPD),LADOT Preferential Parking Districts (PPD),,LADOT,2024-04-24T19:00:59.000Z,,data.lacity.org,,https://data.lacity.org/d/2ckn-xmjp,2026-04-03T21:55:22.487762+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
63jg-8b9z,Crime Data from 2010 to 2019,Crime Data from 2010 to 2019,,Los Angeles Police Department,2026-01-02T22:30:59.000Z,,data.lacity.org,,https://data.lacity.org/d/63jg-8b9z,2026-04-03T21:55:23.604350+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
yru6-6re4,Arrest Data from 2010 to 2019,Arrest Data from 2010 to 2019,,Los Angeles Police Department,2026-01-02T22:37:02.000Z,,data.lacity.org,,https://data.lacity.org/d/yru6-6re4,2026-04-03T21:55:24.750859+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
d5tf-ez2w,Traffic Collision Data from 2010 to Present,Traffic Collision Data from 2010 to Present,,Los Angeles Police Department,2026-01-02T22:35:19.000Z,,data.lacity.org,,https://data.lacity.org/d/d5tf-ez2w,2026-04-03T21:55:25.689166+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
krk7-ayq2,Posted Street Sweeping Routes,Posted Street Sweeping Routes,,Bureau of Street Services,2020-11-30T17:19:52.000Z,,data.lacity.org,,https://data.lacity.org/d/krk7-ayq2,2026-04-03T21:55:26.552457+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
cpkv-aajs,Building Permits: New Housing Units,Building Permits: New Housing Units,,LADBS,2025-01-29T02:48:45.000Z,,data.lacity.org,,https://data.lacity.org/d/cpkv-aajs,2026-04-03T21:55:27.564774+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
q3ak-s5hy,Building and Safety - Vacant Building Abatement,Building and Safety - Vacant Building Abatement,,TSB,2026-04-02T13:01:08.000Z,,data.lacity.org,,https://data.lacity.org/d/q3ak-s5hy,2026-04-03T21:55:28.550247+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
y3c3-hqwu,Electrical,Electrical,,LADBS,2025-01-29T03:00:12.000Z,,data.lacity.org,,https://data.lacity.org/d/y3c3-hqwu,2026-04-03T21:55:29.324025+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
r4uk-afju,Listing of All Businesses,Listing of All Businesses,,Office of Finance,2026-03-16T16:21:23.000Z,,data.lacity.org,,https://data.lacity.org/d/r4uk-afju,2026-04-03T21:55:30.140983+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
hf3r-utnq,RAMP Open Bid Opportunities,RAMP Open Bid Opportunities,,City of Los Angeles,2026-04-03T21:30:02.000Z,,data.lacity.org,,https://data.lacity.org/d/hf3r-utnq,2026-04-03T21:55:30.859227+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
3f9m-afei,Building and Safety Certificate of Occupancy,Building and Safety Certificate of Occupancy,,LADBS,2026-03-30T13:01:22.000Z,,data.lacity.org,,https://data.lacity.org/d/3f9m-afei,2026-04-03T21:55:31.646088+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
jsff-uc6b,LA County COVID Cases,LA County COVID Cases,,,2025-11-11T21:25:58.000Z,,data.lacity.org,,https://data.lacity.org/d/jsff-uc6b,2026-04-03T21:55:32.279848+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
8c4g-tg22,Prostitution along N Western Ave,Prostitution along N Western Ave,,Los Angeles Police Department,2025-06-03T16:13:20.000Z,,data.lacity.org,,https://data.lacity.org/d/8c4g-tg22,2026-04-03T21:55:34.962331+00:00,html_error:Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?; 
